Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
sustainability in business,INR,5000,0%,0%,Low,15,9.99,223.03,,,,,,,,,,,,,,,,,
sustainable cleaning products,INR,50,0%,0%,Medium,47,,,,,,,,,,,,,,,,,,,
esg sustainability,INR,500,0%,0%,Low,1,7.49,89.25,,,,,,,,,,,,,,,,,
un sdg goals,INR,5000,0%,0%,Low,10,25.80,224.74,,,,,,,,,,,,,,,,,
esg framework,INR,5000,0%,0%,Low,15,12.32,42.45,,,,,,,,,,,,,,,,,
eco packaging,INR,500,0%,0%,Low,13,8.84,78.46,,,,,,,,,,,,,,,,,
17 sdg goals,INR,5000,0%,0%,Low,7,18.68,166.47,,,,,,,,,,,,,,,,,
life cycle assessment,INR,5000,0%,0%,Low,7,5.83,65.76,,,,,,,,,,,,,,,,,
solar pv,INR,5000,0%,0%,Low,2,5.83,58.27,,,,,,,,,,,,,,,,,
packaging environmental,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
sustainable development goals 2030,INR,5000,0%,0%,Low,9,15.25,248.04,,,,,,,,,,,,,,,,,
sustainability consulting,INR,500,0%,0%,Low,15,13.06,98.72,,,,,,,,,,,,,,,,,
wind power,INR,5000,0%,0%,Low,4,8.32,49.26,,,,,,,,,,,,,,,,,
sustainable city,INR,5000,0%,0%,Low,6,12.60,138.93,,,,,,,,,,,,,,,,,
clean energy initiative,INR,50,0%,0%,Low,5,12.50,20.92,,,,,,,,,,,,,,,,,
sustainable agriculture,INR,50000,0%,0%,Low,3,10.25,65.65,,,,,,,,,,,,,,,,,
home wind turbine,INR,5000,0%,0%,Medium,39,1.05,19.14,,,,,,,,,,,,,,,,,
sustainable products,INR,5000,0%,0%,Low,32,6.23,23.31,,,,,,,,,,,,,,,,,
environmental sustainability,INR,50000,-90%,0%,Low,6,11.10,21.32,,,,,,,,,,,,,,,,,
sustainable energy,INR,5000,0%,0%,Low,13,11.21,34.91,,,,,,,,,,,,,,,,,
sdg un,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
sustainability reporting,INR,5000,0%,0%,Low,7,9.99,83.65,,,,,,,,,,,,,,,,,
solar electricity,INR,5000,0%,0%,Low,18,6.13,43.02,,,,,,,,,,,,,,,,,
sdg 6,INR,5000,0%,0%,Low,1,16.60,166.47,,,,,,,,,,,,,,,,,
alternative energy sources,INR,5000,0%,0%,Low,11,16.68,39.12,,,,,,,,,,,,,,,,,
renewable resources,INR,50000,0%,0%,Low,1,18.92,66.59,,,,,,,,,,,,,,,,,
wind turbines,INR,50000,0%,0%,Low,3,1.09,16.65,,,,,,,,,,,,,,,,,
solar electric system,INR,5000,0%,0%,Low,33,5.96,23.95,,,,,,,,,,,,,,,,,
sustainability management,INR,5000,0%,0%,Low,9,16.09,166.47,,,,,,,,,,,,,,,,,
biomass energy,INR,50000,0%,0%,Low,6,5.83,34.13,,,,,,,,,,,,,,,,,
renewable natural gas,INR,500,0%,0%,Low,1,19.98,166.47,,,,,,,,,,,,,,,,,
un development goals,INR,500,0%,0%,Low,6,79.07,242.22,,,,,,,,,,,,,,,,,
sustainable development project,INR,50000,0%,0%,Low,14,13.32,24.14,,,,,,,,,,,,,,,,,
solar rooftop,INR,50000,0%,0%,Low,16,5.83,22.97,,,,,,,,,,,,,,,,,
green power,INR,5000,0%,0%,Low,2,18.31,66.59,,,,,,,,,,,,,,,,,
sdg 13,INR,5000,0%,0%,Low,1,13.32,159.81,,,,,,,,,,,,,,,,,
sustainable cities and communities,INR,5000,0%,0%,Low,4,13.32,138.09,,,,,,,,,,,,,,,,,
residential wind turbine,INR,50,900%,900%,Medium,42,1.18,23.23,,,,,,,,,,,,,,,,,
corporate sustainability,INR,5000,0%,900%,Low,8,11.43,258.85,,,,,,,,,,,,,,,,,
sdg 11,INR,5000,0%,0%,Low,1,23.31,166.47,,,,,,,,,,,,,,,,,
clean energy association,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable solutions,INR,500,0%,0%,Low,7,11.65,39.36,,,,,,,,,,,,,,,,,
green energy company,INR,500,0%,0%,Low,21,20.75,81.16,,,,,,,,,,,,,,,,,
esg goals,INR,500,0%,0%,Low,5,10.82,32.18,,,,,,,,,,,,,,,,,
17 sustainable development goals explanation,INR,5000,0%,900%,Low,11,14.50,166.47,,,,,,,,,,,,,,,,,
sustainable supply chain,INR,5000,900%,0%,Low,8,5.83,36.67,,,,,,,,,,,,,,,,,
solar power for house,INR,500,0%,0%,High,82,4.00,21.03,,,,,,,,,,,,,,,,,
off grid solar power systems,INR,5000,0%,0%,Low,23,6.37,21.28,,,,,,,,,,,,,,,,,
cdp reporting,INR,500,-90%,0%,Low,2,193.11,1664.72,,,,,,,,,,,,,,,,,
sustainable companies,INR,500,0%,0%,Low,11,14.89,1134.44,,,,,,,,,,,,,,,,,
un sdgs list,INR,500,0%,0%,Low,13,57.43,227.23,,,,,,,,,,,,,,,,,
carbon disclosure project,INR,500,0%,0%,Low,3,22.33,1664.72,,,,,,,,,,,,,,,,,
sdgs 2030,INR,5000,0%,0%,Low,9,15.25,248.04,,,,,,,,,,,,,,,,,
affordable and clean energy,INR,5000,0%,0%,Low,9,13.79,39.12,,,,,,,,,,,,,,,,,
solar pv panels,INR,5000,900%,0%,Low,6,5.63,17.16,,,,,,,,,,,,,,,,,
un 17 sustainable development goals,INR,500,0%,0%,Low,10,20.79,202.26,,,,,,,,,,,,,,,,,
sustainable living,INR,5000,0%,0%,Low,4,1.66,37.30,,,,,,,,,,,,,,,,,
sustainable building materials,INR,5000,900%,0%,Low,19,5.83,22.44,,,,,,,,,,,,,,,,,
types of renewable energy,INR,5000,0%,0%,Low,7,17.81,58.27,,,,,,,,,,,,,,,,,
alternative energy,INR,5000,0%,-90%,Low,7,19.51,47.44,,,,,,,,,,,,,,,,,
list of sdgs,INR,5000,0%,0%,Low,10,34.96,175.63,,,,,,,,,,,,,,,,,
united nations sdg,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
circular economy and sustainability strategies,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,
best solar power companies,INR,50,0%,900%,Low,13,6.37,66.59,,,,,,,,,,,,,,,,,
wind power for homes,INR,500,0%,900%,Low,28,1.35,38.29,,,,,,,,,,,,,,,,,
eco friendly,INR,50000,0%,0%,Low,0,8.12,173.96,,,,,,,,,,,,,,,,,
eco friendly packaging materials,INR,500,0%,0%,High,68,5.83,50.77,,,,,,,,,,,,,,,,,
sustainable packaging materials,INR,500,0%,0%,Low,23,6.66,39.06,,,,,,,,,,,,,,,,,
home solar power,INR,5000,0%,0%,High,71,5.01,18.78,,,,,,,,,,,,,,,,,
sdg list,INR,5000,0%,0%,Low,10,34.96,175.63,,,,,,,,,,,,,,,,,
development goals,INR,5000,0%,0%,Low,3,18.81,166.47,,,,,,,,,,,,,,,,,
sustainable architecture,INR,5000,0%,0%,Low,6,5.83,24.97,,,,,,,,,,,,,,,,,
sustainable farming,INR,5000,0%,0%,Low,2,11.20,39.13,,,,,,,,,,,,,,,,,
sustainable tourism,INR,5000,0%,0%,Low,2,5.83,25.05,,,,,,,,,,,,,,,,,
sdg 12,INR,5000,0%,0%,Low,1,15.00,166.47,,,,,,,,,,,,,,,,,
sdg 7,INR,5000,0%,0%,Low,2,15.39,136.51,,,,,,,,,,,,,,,,,
solar cost per kwh,INR,500,0%,0%,Low,14,2.95,13.59,,,,,,,,,,,,,,,,,
higg index,INR,5000,0%,0%,Low,9,7.39,47.96,,,,,,,,,,,,,,,,,
sustainable procurement,INR,500,0%,0%,Low,12,4.88,36.10,,,,,,,,,,,,,,,,,
un global goals,INR,50,0%,0%,Low,9,166.47,517.31,,,,,,,,,,,,,,,,,
green energy solutions,INR,500,0%,0%,Low,14,16.65,66.59,,,,,,,,,,,,,,,,,
sustainability strategy,INR,500,0%,0%,Low,8,8.32,23.96,,,,,,,,,,,,,,,,,
geothermal systems,INR,500,0%,0%,Low,2,4.16,22.47,,,,,,,,,,,,,,,,,
electric companies that buy back solar power,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
sustainable furniture companies,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
united nations 17 sustainable development goals,INR,500,0%,0%,Low,10,20.79,202.26,,,,,,,,,,,,,,,,,
un 17 goals,INR,500,0%,0%,Low,5,38.88,278.01,,,,,,,,,,,,,,,,,
biomass,INR,50000,0%,0%,Low,1,5.83,9.99,,,,,,,,,,,,,,,,,
sustainability consulting firms,INR,500,-90%,-90%,Low,25,17.48,118.39,,,,,,,,,,,,,,,,,
eco friendly food packaging,INR,500,0%,0%,High,80,7.59,64.92,,,,,,,,,,,,,,,,,
eco friendly packaging for small business,INR,50,0%,0%,High,67,6.98,35.24,,,,,,,,,,,,,,,,,
eco friendly promotional products,INR,50,0%,0%,Low,20,17.66,32.45,,,,,,,,,,,,,,,,,
green packaging,INR,500,0%,0%,Low,8,10.63,125.69,,,,,,,,,,,,,,,,,
zero waste shop,INR,500,9900%,9900%,Low,8,1.03,21.75,,,,,,,,,,,,,,,,,
sustainable food packaging,INR,500,0%,0%,Low,17,14.50,59.04,,,,,,,,,,,,,,,,,
the 17 sustainable development goals,INR,500,0%,0%,Low,11,18.23,166.47,,,,,,,,,,,,,,,,,
geothermal heating system,INR,50,900%,900%,Low,2,,,,,,,,,,,,,,,,,,,
new energy source,INR,500,0%,0%,Low,22,17.75,59.93,,,,,,,,,,,,,,,,,
environmentally friendly,INR,5000,0%,0%,Low,1,17.48,1664.72,,,,,,,,,,,,,,,,,
sdg 14,INR,5000,0%,0%,Low,1,69.92,166.47,,,,,,,,,,,,,,,,,
un sustainable development goals 2022,INR,50,0%,0%,Low,12,,,,,,,,,,,,,,,,,,,
small wind turbine,INR,5000,0%,0%,Medium,41,1.15,18.31,,,,,,,,,,,,,,,,,
green investing,INR,500,900%,900%,Low,1,20.93,47.00,,,,,,,,,,,,,,,,,
accenture sustainability,INR,500,0%,0%,Low,4,18.31,149.83,,,,,,,,,,,,,,,,,
sustainable materials,INR,5000,0%,0%,Low,6,6.21,19.15,,,,,,,,,,,,,,,,,
green energy solar,INR,500,0%,0%,Low,7,16.00,58.27,,,,,,,,,,,,,,,,,
united nations goals,INR,500,0%,0%,Low,5,72.42,222.24,,,,,,,,,,,,,,,,,
cost of geothermal system,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
environmentally friendly packaging,INR,5000,0%,0%,Low,32,9.82,64.92,,,,,,,,,,,,,,,,,
life below water,INR,5000,0%,0%,Low,1,82.40,168.14,,,,,,,,,,,,,,,,,
clean energy companies,INR,5000,0%,900%,Low,18,17.48,72.74,,,,,,,,,,,,,,,,,
solar power supply,INR,500,0%,0%,Medium,36,4.36,28.97,,,,,,,,,,,,,,,,,
10 simple ways to reduce your carbon footprint,INR,500,0%,0%,Low,19,7.49,37.46,,,,,,,,,,,,,,,,,
deloitte sustainability,INR,50,900%,900%,Low,6,10.82,35.86,,,,,,,,,,,,,,,,,
rooftop solar power,INR,5000,0%,0%,Low,14,5.85,23.92,,,,,,,,,,,,,,,,,
sustainable design,INR,5000,0%,0%,Low,7,11.61,26.60,,,,,,,,,,,,,,,,,
green team,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
the sdgs,INR,500,0%,0%,Low,5,33.78,170.63,,,,,,,,,,,,,,,,,
climate action sdg,INR,500,-90%,0%,Low,12,10.82,54.10,,,,,,,,,,,,,,,,,
sdg 9,INR,5000,0%,0%,Low,1,15.10,124.85,,,,,,,,,,,,,,,,,
united nation sustainable development goals,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
solar power plant,INR,50000,0%,0%,Low,6,5.83,18.69,,,,,,,,,,,,,,,,,
offshore wind,INR,5000,0%,0%,Low,3,25.46,151.62,,,,,,,,,,,,,,,,,
eco tourism,INR,50000,0%,0%,Low,0,13.32,166.47,,,,,,,,,,,,,,,,,
pseg solar,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
united nations sustainability goals,INR,500,0%,0%,Low,11,24.14,228.90,,,,,,,,,,,,,,,,,
sustainable business strategy,INR,500,0%,0%,Low,18,11.65,61.30,,,,,,,,,,,,,,,,,
sustainability examples,INR,500,0%,900%,Low,5,10.34,390.38,,,,,,,,,,,,,,,,,
geothermal cost,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
17 global goals,INR,50,900%,900%,Low,3,66.59,334.61,,,,,,,,,,,,,,,,,
environmental issues today,INR,500,0%,900%,Low,4,8.94,86.57,,,,,,,,,,,,,,,,,
recycled packaging,INR,500,0%,0%,Low,4,15.81,125.69,,,,,,,,,,,,,,,,,
ibm envizi,INR,500,0%,0%,Low,12,14.03,749.68,,,,,,,,,,,,,,,,,
renewable energy resources,INR,5000,0%,0%,Low,12,16.65,34.96,,,,,,,,,,,,,,,,,
sdg 15,INR,5000,0%,0%,Low,1,60.76,166.47,,,,,,,,,,,,,,,,,
sustainable farming practices,INR,5000,0%,0%,Low,5,11.65,132.35,,,,,,,,,,,,,,,,,
sustainable food systems,INR,500,0%,900%,Low,8,10.62,39.95,,,,,,,,,,,,,,,,,
best eco friendly cleaning products,INR,50,0%,0%,Medium,63,,,,,,,,,,,,,,,,,,,
sustainable food,INR,500,0%,0%,Low,5,7.29,23.19,,,,,,,,,,,,,,,,,
renewables,INR,50000,0%,0%,Low,1,14.38,41.62,,,,,,,,,,,,,,,,,
geothermal heating cost,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmentally friendly products,INR,500,0%,-90%,Low,11,5.83,22.23,,,,,,,,,,,,,,,,,
global goals for sustainable development,INR,500,0%,0%,Low,8,16.84,175.63,,,,,,,,,,,,,,,,,
deloitte esg,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable manufacturing,INR,500,0%,0%,Low,7,13.52,77.53,,,,,,,,,,,,,,,,,
list of sustainable development goals,INR,5000,0%,0%,Low,10,34.96,175.63,,,,,,,,,,,,,,,,,
sustainable packaging companies,INR,50,0%,0%,Low,14,10.50,84.65,,,,,,,,,,,,,,,,,
green energy group,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
esg and sustainability,INR,500,0%,0%,Low,1,7.49,89.25,,,,,,,,,,,,,,,,,
17 goals,INR,500,0%,0%,Low,2,91.56,250.54,,,,,,,,,,,,,,,,,
green building renewables,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
eco living,INR,500,0%,900%,Low,2,,,,,,,,,,,,,,,,,,,
home solar cost,INR,50000,0%,900%,High,93,3.80,13.43,,,,,,,,,,,,,,,,,
ibm sustainability,INR,500,0%,0%,Low,11,16.44,135.68,,,,,,,,,,,,,,,,,
residential solar power,INR,5000,0%,0%,High,71,5.01,18.78,,,,,,,,,,,,,,,,,
17 sustainable goals,INR,50000,0%,0%,Low,10,16.77,166.47,,,,,,,,,,,,,,,,,
sustainable building,INR,5000,0%,0%,Low,10,8.94,160.10,,,,,,,,,,,,,,,,,
ey sustainability,INR,50,900%,0%,Low,4,18.86,95.72,,,,,,,,,,,,,,,,,
sustainability leadership,INR,500,0%,0%,Low,6,13.40,93.85,,,,,,,,,,,,,,,,,
solar power roof,INR,5000,0%,0%,Low,14,5.85,23.92,,,,,,,,,,,,,,,,,
environment development and sustainability,INR,5000,0%,0%,Low,1,14.98,91.35,,,,,,,,,,,,,,,,,
salesforce sustainability,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
pv solar system,INR,5000,0%,0%,Low,4,5.83,41.62,,,,,,,,,,,,,,,,,
accenture esg,INR,50,0%,0%,Low,8,11.65,30.88,,,,,,,,,,,,,,,,,
eco friendly companies,INR,500,0%,0%,Low,5,10.33,860.96,,,,,,,,,,,,,,,,,
life on land,INR,5000,0%,0%,Low,1,59.38,166.47,,,,,,,,,,,,,,,,,
sustainability projects,INR,500,0%,0%,Low,14,9.61,28.53,,,,,,,,,,,,,,,,,
sustainable construction,INR,500,0%,0%,Low,7,6.23,27.31,,,,,,,,,,,,,,,,,
zero waste products,INR,500,0%,0%,Medium,36,1.79,22.07,,,,,,,,,,,,,,,,,
sustainable energy sources,INR,500,0%,0%,Low,19,11.65,34.13,,,,,,,,,,,,,,,,,
corporate social responsibility and environmental management,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg sustainable development goals,INR,50000,-90%,0%,Low,10,15.81,166.47,,,,,,,,,,,,,,,,,
environmental sustainability examples,INR,500,0%,0%,Low,8,9.99,18.68,,,,,,,,,,,,,,,,,
un global compact,INR,5000,0%,0%,Low,0,5.83,9.16,,,,,,,,,,,,,,,,,
solar electricity for home,INR,50000,0%,0%,High,89,5.24,19.14,,,,,,,,,,,,,,,,,
sustainable agriculture practices,INR,5000,0%,0%,Low,5,11.65,132.35,,,,,,,,,,,,,,,,,
eco friendly household products,INR,50,0%,0%,Medium,37,8.49,24.41,,,,,,,,,,,,,,,,,
sdg 13 climate action,INR,500,-90%,0%,Low,6,10.82,156.48,,,,,,,,,,,,,,,,,
hot water solar panels,INR,500,0%,0%,Low,29,1.07,30.04,,,,,,,,,,,,,,,,,
earth friendly products,INR,50,0%,0%,Low,7,54.94,78.24,,,,,,,,,,,,,,,,,
goal 13 climate action,INR,500,0%,0%,Low,4,11.65,188.95,,,,,,,,,,,,,,,,,
global sustainability goals,INR,50,0%,0%,Low,10,14.98,207.26,,,,,,,,,,,,,,,,,
sustainability policy,INR,500,0%,0%,Low,3,8.03,16.30,,,,,,,,,,,,,,,,,
sustainable business practices,INR,500,0%,0%,Low,16,6.66,278.03,,,,,,,,,,,,,,,,,
renewable energy group,INR,500,0%,0%,Low,2,17.62,39.12,,,,,,,,,,,,,,,,,
sustainability in fashion,INR,500,0%,0%,Low,17,2.66,37.46,,,,,,,,,,,,,,,,,
renewable energy systems,INR,50000,0%,0%,Low,0,13.32,40.79,,,,,,,,,,,,,,,,,
most sustainable companies,INR,50,0%,0%,Low,10,21.02,946.05,,,,,,,,,,,,,,,,,
the 17 goals,INR,50,0%,0%,Low,7,127.35,302.15,,,,,,,,,,,,,,,,,
renewable energy projects,INR,5000,0%,0%,Low,18,14.03,32.46,,,,,,,,,,,,,,,,,
sustainable construction materials,INR,5000,900%,0%,Low,19,5.83,22.44,,,,,,,,,,,,,,,,,
renewable energy investment,INR,500,0%,0%,Low,6,14.76,89.20,,,,,,,,,,,,,,,,,
solar electric company,INR,5000,0%,0%,Low,16,9.99,65.76,,,,,,,,,,,,,,,,,
sustainable household products,INR,50,0%,0%,Medium,42,,,,,,,,,,,,,,,,,,,
green energy providers,INR,50,0%,0%,Low,15,32.46,104.88,,,,,,,,,,,,,,,,,
solar power energy,INR,500,0%,0%,Low,4,6.29,55.77,,,,,,,,,,,,,,,,,
sustainability tips,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
renewable energy corporation,INR,500,0%,0%,Low,6,14.39,57.43,,,,,,,,,,,,,,,,,
solar plant,INR,5000,0%,0%,Low,8,3.63,13.31,,,,,,,,,,,,,,,,,
green building materials,INR,5000,900%,0%,Low,13,6.66,74.04,,,,,,,,,,,,,,,,,
economic sustainability,INR,5000,0%,0%,Low,2,8.79,20.81,,,,,,,,,,,,,,,,,
green electricity,INR,500,0%,0%,Low,2,20.70,56.60,,,,,,,,,,,,,,,,,
eco friendly cleaners,INR,50,0%,0%,High,76,12.27,72.93,,,,,,,,,,,,,,,,,
sec sustainability reporting,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
salesforce net zero,INR,50,0%,0%,Low,5,25.39,568.09,,,,,,,,,,,,,,,,,
the 17 sdgs,INR,500,0%,0%,Low,11,18.23,166.47,,,,,,,,,,,,,,,,,
green solar energy,INR,500,0%,0%,Low,6,15.49,44.12,,,,,,,,,,,,,,,,,
un 2030 sustainable development goals,INR,500,0%,0%,Low,11,64.09,372.07,,,,,,,,,,,,,,,,,
green architecture,INR,5000,-90%,-90%,Low,2,9.35,30.16,,,,,,,,,,,,,,,,,
sustainable development examples,INR,5000,-90%,0%,Low,3,12.41,22.47,,,,,,,,,,,,,,,,,
offshore wind power,INR,5000,0%,0%,Low,4,17.74,99.88,,,,,,,,,,,,,,,,,
green energy solar panels,INR,50,0%,0%,Low,8,9.74,58.27,,,,,,,,,,,,,,,,,
sustainable development goal 3,INR,500,0%,0%,Low,2,16.65,166.47,,,,,,,,,,,,,,,,,
green energy savings,INR,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
mckinsey sustainability,INR,500,900%,0%,Low,4,12.49,62.42,,,,,,,,,,,,,,,,,
sustainability index,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable development goal 6,INR,500,0%,0%,Low,6,13.32,166.47,,,,,,,,,,,,,,,,,
solar plant for home,INR,5000,0%,0%,High,71,5.01,18.78,,,,,,,,,,,,,,,,,
green energy suppliers,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
wind energy companies,INR,500,0%,0%,Low,15,16.65,59.10,,,,,,,,,,,,,,,,,
water turbine generator for home,INR,500,0%,0%,Low,16,0.74,1.91,,,,,,,,,,,,,,,,,
salesforce esg,INR,50,0%,0%,Low,9,18.55,563.51,,,,,,,,,,,,,,,,,
un sustainable development,INR,500,0%,0%,Low,10,14.38,167.30,,,,,,,,,,,,,,,,,
renewable energy solutions,INR,500,0%,0%,Low,13,12.49,43.28,,,,,,,,,,,,,,,,,
envizi ibm,INR,50,0%,0%,Low,12,18.26,824.06,,,,,,,,,,,,,,,,,
sustainability services,INR,50,900%,900%,Low,11,16.99,150.54,,,,,,,,,,,,,,,,,
eco friendly cosmetic packaging,INR,50,0%,-90%,Low,16,8.32,64.92,,,,,,,,,,,,,,,,,
sap sustainability,INR,500,0%,0%,Low,6,39.40,120.69,,,,,,,,,,,,,,,,,
renewable gas,INR,50,0%,0%,Low,4,12.58,35.79,,,,,,,,,,,,,,,,,
alternative energy systems,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
climate change and sustainability,INR,500,0%,0%,Low,16,8.32,17.70,,,,,,,,,,,,,,,,,
geothermal heating cost to install,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
clean energy solutions,INR,500,0%,900%,Low,9,14.53,50.77,,,,,,,,,,,,,,,,,
sustainable energy companies,INR,50,0%,0%,Low,20,16.15,49.94,,,,,,,,,,,,,,,,,
truterra,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar power solutions,INR,5000,-90%,0%,Low,11,5.52,43.28,,,,,,,,,,,,,,,,,
sustainability events,INR,500,0%,0%,Low,10,5.83,24.19,,,,,,,,,,,,,,,,,
renewable energy institute,INR,500,0%,900%,Low,14,16.48,38.29,,,,,,,,,,,,,,,,,
eco food packaging,INR,50,0%,0%,High,71,2.45,23.31,,,,,,,,,,,,,,,,,
climate action sustainable development goals,INR,500,-90%,0%,Low,12,10.82,54.10,,,,,,,,,,,,,,,,,
social sustainability,INR,5000,0%,0%,Low,1,14.15,79.91,,,,,,,,,,,,,,,,,
gri sustainability reporting,INR,500,0%,0%,Low,20,6.11,35.42,,,,,,,,,,,,,,,,,
